CPU,OS,SINGLE_CPU_SCORE,MEMORY_SCORE,MULTI_CPU_SCORE
AMD Ryzen 7 5800HS with Radeon Graphics,Windows,441.306266548985
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,Linux,703.2348804500704
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,Windows,506.3291139240506
AMD Ryzen 7 5800HS with Radeon Graphics,Windows,258.19777949909627
AMD Ryzen 7 5800HS with Radeon Graphics,Windows,262.8120893561104
AMD Ryzen 7 5800HS with Radeon Graphics,Windows,444.64206313917293,29.0
AMD Ryzen 7 5800HS with Radeon Graphics,Windows,446.2293618920125,29
AMD Ryzen 7 5800HS with Radeon Graphics,Windows,443,288
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,Linux,6954,700,0
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,Linux,7027,689,0
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,Linux,6949,689,0
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,Linux,6916,689,0
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,Linux,6916,689,0
AMD Ryzen 7 5800HS with Radeon Graphics,Windows,4386,280,0
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,Linux,7008,689,0
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,Linux,7072,700,0
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,Linux,6949,689,0
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,Linux,7008,700,0
Intel(R) Core(TM) i5-1038NG7 CPU @ 2.00GHz,Darwin,2915,684,0
Intel(R) Core(TM) i5-1038NG7 CPU @ 2.00GHz,Darwin,2718,684,0
Intel(R) Core(TM) i5-1038NG7 CPU @ 2.00GHz,Darwin,3051,684,0
Intel(R) Core(TM) i5-1038NG7 CPU @ 2.00GHz,Darwin,3014,684,0
Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz,Windows,3565,481,0
Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz,Windows,3647,484,0
Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz,Windows,3636,483,0
Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz,Windows,3486,486,0
Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz,Windows,3654,483,0
Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,Linux,7022,700,0
SYSTEM:,Windows,AMD64,10.0.19041,10,Zephyrus,CPU:,AMD Ryzen 7 5800HS with Radeon Graphics,8,16,3201.0,0.0,MEMORY:,15.42GB,6.15GB,STORAGE:,"C:\, ","C:\, ",3322,288,0
SYSTEM:,Windows,AMD64,10.0.19041,10,Zephyrus,CPU:,AMD Ryzen 7 5800HS with Radeon Graphics,8,16,3201.0,0.0,MEMORY:,15.42GB,4.48GB,STORAGE:,"C:\, ",2733,288,
