benchmarkID,system,singleCpuScore,multiCpuScore,gpuScore,storageScore,ramScore,overallScore,cpuDetails
1.94E+14,Windows,654,2089,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
1.94E+14,Windows,655,6565,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
2.47E+14,Windows,480,6553,9.99,9.99,9.99,9.99,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz
2.47E+14,Windows,461,1616,9.99,9.99,9.99,9.99,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz
2.47E+14,Windows,835,9017,9.99,9.99,9.99,9.99,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz
2.47E+14,Windows,896,9009,9.99,9.99,9.99,9.99,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz
2.47E+14,Windows,820,46050,9.99,9.99,9.99,9.99,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz
1.94E+14,Windows,1667,40950,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
1.9422E+14,Windows,1562,43859,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
1.9422E+14,Windows,599,14250,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
1.9422E+14,Windows,669,11677,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
194220047236855,Windows,657,57142,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
194220047236855,Windows,547,100000,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
194220047236855,Windows,647,0,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
194220047236855,Windows,792,0,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
194220047236855,Windows,704,0,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
194220047236855,Windows,806,0,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
194220047236855,Windows,791,0,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
194220047236855,Windows,847,0,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
194220047236855,Windows,827,0,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
194220047236855,Windows,772,0,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
194220047236855,Windows,835,0,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
194220047236855,Windows,865,0,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
194220047236855,Windows,4537,0,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
194220047236855,Windows,920,0,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
194220047236855,Windows,807,0,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
194220047236855,Windows,808,1059,9.99,9.99,9.99,9.99,AMD Ryzen 7 5800HS with Radeon Graphics
